4228560 bentley cpu: 0.287344 ,  gpu: 0.006409 
4228560 bentley cpu: 0.190963 ,  gpu: 0.006410 
4228560 bentley cpu: 0.191327 ,  gpu: 0.006116 
4228560 bentley cpu: 0.190892 ,  gpu: 0.006080 
4228560 bentley cpu: 0.128269 ,  gpu: 0.006098 
4228560 bentley cpu: 0.190799 ,  gpu: 0.006115 
4228560 bentley cpu: 0.191349 ,  gpu: 0.006102 
4228560 bentley cpu: 0.190964 ,  gpu: 0.006111 
4228560 bentley cpu: 0.191465 ,  gpu: 0.006114 
4228560 bentley cpu: 0.191389 ,  gpu: 0.006117 
4228560 bentley cpu: 0.191280 ,  gpu: 0.006062 
4228560 bentley cpu: 0.191396 ,  gpu: 0.006092 
4228560 bentley cpu: 0.191373 ,  gpu: 0.006067 
4228560 bentley cpu: 0.191318 ,  gpu: 0.006117 
4228560 bentley cpu: 0.190613 ,  gpu: 0.006111 
4228560 bentley cpu: 0.191315 ,  gpu: 0.006133 
4228560 bentley cpu: 0.191108 ,  gpu: 0.006079 
4228560 bentley cpu: 0.191019 ,  gpu: 0.006129 
4228560 bentley cpu: 0.192011 ,  gpu: 0.006103 
4228560 bentley cpu: 0.191587 ,  gpu: 0.006098 
8294400 bugatti cpu: 0.350921 ,  gpu: 0.011580 
8294400 bugatti cpu: 0.232960 ,  gpu: 0.011856 
8294400 bugatti cpu: 0.232683 ,  gpu: 0.011484 
8294400 bugatti cpu: 0.232652 ,  gpu: 0.011493 
8294400 bugatti cpu: 0.233052 ,  gpu: 0.011507 
8294400 bugatti cpu: 0.233198 ,  gpu: 0.011503 
8294400 bugatti cpu: 0.232745 ,  gpu: 0.011483 
8294400 bugatti cpu: 0.201884 ,  gpu: 0.011509 
8294400 bugatti cpu: 0.228068 ,  gpu: 0.011517 
8294400 bugatti cpu: 0.231439 ,  gpu: 0.011501 
8294400 bugatti cpu: 0.232532 ,  gpu: 0.011496 
8294400 bugatti cpu: 0.233300 ,  gpu: 0.011438 
8294400 bugatti cpu: 0.233036 ,  gpu: 0.011492 
8294400 bugatti cpu: 0.232978 ,  gpu: 0.011487 
8294400 bugatti cpu: 0.233195 ,  gpu: 0.011439 
8294400 bugatti cpu: 0.232613 ,  gpu: 0.011433 
8294400 bugatti cpu: 0.221416 ,  gpu: 0.011460 
8294400 bugatti cpu: 0.223977 ,  gpu: 0.011623 
8294400 bugatti cpu: 0.226258 ,  gpu: 0.011469 
8294400 bugatti cpu: 0.232549 ,  gpu: 0.011503 
10276500 chevrolet cpu: 0.385272 ,  gpu: 0.014065 
10276500 chevrolet cpu: 0.261471 ,  gpu: 0.014010 
10276500 chevrolet cpu: 0.254755 ,  gpu: 0.013925 
10276500 chevrolet cpu: 0.248612 ,  gpu: 0.013940 
10276500 chevrolet cpu: 0.248787 ,  gpu: 0.013963 
10276500 chevrolet cpu: 0.250411 ,  gpu: 0.013932 
10276500 chevrolet cpu: 0.248731 ,  gpu: 0.013937 
10276500 chevrolet cpu: 0.248475 ,  gpu: 0.013940 
10276500 chevrolet cpu: 0.249330 ,  gpu: 0.013929 
10276500 chevrolet cpu: 0.249267 ,  gpu: 0.013959 
10276500 chevrolet cpu: 0.262435 ,  gpu: 0.013933 
10276500 chevrolet cpu: 0.258030 ,  gpu: 0.013914 
10276500 chevrolet cpu: 0.250536 ,  gpu: 0.013917 
10276500 chevrolet cpu: 0.250215 ,  gpu: 0.013925 
10276500 chevrolet cpu: 0.248839 ,  gpu: 0.013938 
10276500 chevrolet cpu: 0.261347 ,  gpu: 0.013943 
10276500 chevrolet cpu: 0.260691 ,  gpu: 0.013936 
10276500 chevrolet cpu: 0.248921 ,  gpu: 0.013958 
10276500 chevrolet cpu: 0.249078 ,  gpu: 0.013946 
10276500 chevrolet cpu: 0.249562 ,  gpu: 0.013949 
7916720 ferrari cpu: 0.328393 ,  gpu: 0.011300 
7916720 ferrari cpu: 0.224269 ,  gpu: 0.011217 
7916720 ferrari cpu: 0.233012 ,  gpu: 0.011211 
7916720 ferrari cpu: 0.233103 ,  gpu: 0.011150 
7916720 ferrari cpu: 0.233158 ,  gpu: 0.011212 
7916720 ferrari cpu: 0.233798 ,  gpu: 0.011212 
7916720 ferrari cpu: 0.233944 ,  gpu: 0.011220 
7916720 ferrari cpu: 0.228012 ,  gpu: 0.011198 
7916720 ferrari cpu: 0.233119 ,  gpu: 0.011276 
7916720 ferrari cpu: 0.232664 ,  gpu: 0.011204 
7916720 ferrari cpu: 0.232623 ,  gpu: 0.011220 
7916720 ferrari cpu: 0.194035 ,  gpu: 0.011151 
7916720 ferrari cpu: 0.227347 ,  gpu: 0.011221 
7916720 ferrari cpu: 0.233750 ,  gpu: 0.011191 
7916720 ferrari cpu: 0.233462 ,  gpu: 0.011223 
7916720 ferrari cpu: 0.233161 ,  gpu: 0.011172 
7916720 ferrari cpu: 0.233520 ,  gpu: 0.011199 
7916720 ferrari cpu: 0.233535 ,  gpu: 0.011196 
7916720 ferrari cpu: 0.232921 ,  gpu: 0.011209 
7916720 ferrari cpu: 0.233435 ,  gpu: 0.011197 
8294400 ford cpu: 0.341035 ,  gpu: 0.011750 
8294400 ford cpu: 0.216779 ,  gpu: 0.010137 
8294400 ford cpu: 0.226048 ,  gpu: 0.010099 
8294400 ford cpu: 0.225449 ,  gpu: 0.010088 
8294400 ford cpu: 0.226141 ,  gpu: 0.010217 
8294400 ford cpu: 0.158866 ,  gpu: 0.010102 
8294400 ford cpu: 0.225612 ,  gpu: 0.010110 
8294400 ford cpu: 0.226473 ,  gpu: 0.010112 
8294400 ford cpu: 0.226549 ,  gpu: 0.010099 
8294400 ford cpu: 0.226419 ,  gpu: 0.010080 
8294400 ford cpu: 0.224659 ,  gpu: 0.010082 
8294400 ford cpu: 0.218204 ,  gpu: 0.010086 
8294400 ford cpu: 0.226227 ,  gpu: 0.010093 
8294400 ford cpu: 0.222953 ,  gpu: 0.010104 
8294400 ford cpu: 0.209454 ,  gpu: 0.010091 
8294400 ford cpu: 0.226316 ,  gpu: 0.010097 
8294400 ford cpu: 0.226298 ,  gpu: 0.010098 
8294400 ford cpu: 0.226393 ,  gpu: 0.010114 
8294400 ford cpu: 0.167219 ,  gpu: 0.010084 
8294400 ford cpu: 0.226264 ,  gpu: 0.010097 
1941610 koenigsegg cpu: 0.242058 ,  gpu: 0.003429 
1941610 koenigsegg cpu: 0.166270 ,  gpu: 0.003416 
