4228560 bentley cpu: 0.235528 ,  gpu: 0.006992 
4228560 bentley cpu: 0.189900 ,  gpu: 0.006890 
4228560 bentley cpu: 0.191040 ,  gpu: 0.006897 
4228560 bentley cpu: 0.168135 ,  gpu: 0.006893 
4228560 bentley cpu: 0.190840 ,  gpu: 0.006902 
4228560 bentley cpu: 0.190981 ,  gpu: 0.006911 
4228560 bentley cpu: 0.190807 ,  gpu: 0.006902 
4228560 bentley cpu: 0.190988 ,  gpu: 0.006918 
4228560 bentley cpu: 0.173889 ,  gpu: 0.006896 
4228560 bentley cpu: 0.190921 ,  gpu: 0.006903 
4228560 bentley cpu: 0.135085 ,  gpu: 0.006907 
4228560 bentley cpu: 0.190213 ,  gpu: 0.006886 
4228560 bentley cpu: 0.190966 ,  gpu: 0.006865 
4228560 bentley cpu: 0.190942 ,  gpu: 0.006882 
4228560 bentley cpu: 0.190906 ,  gpu: 0.006903 
4228560 bentley cpu: 0.190846 ,  gpu: 0.006895 
4228560 bentley cpu: 0.191399 ,  gpu: 0.006888 
4228560 bentley cpu: 0.190908 ,  gpu: 0.006922 
4228560 bentley cpu: 0.141381 ,  gpu: 0.006920 
4228560 bentley cpu: 0.190893 ,  gpu: 0.006892 
8294400 bugatti cpu: 0.319410 ,  gpu: 0.012508 
8294400 bugatti cpu: 0.232893 ,  gpu: 0.012885 
8294400 bugatti cpu: 0.226278 ,  gpu: 0.012598 
8294400 bugatti cpu: 0.230066 ,  gpu: 0.012615 
8294400 bugatti cpu: 0.225545 ,  gpu: 0.012598 
8294400 bugatti cpu: 0.225879 ,  gpu: 0.012604 
8294400 bugatti cpu: 0.226185 ,  gpu: 0.012546 
8294400 bugatti cpu: 0.229682 ,  gpu: 0.012613 
8294400 bugatti cpu: 0.232626 ,  gpu: 0.012596 
8294400 bugatti cpu: 0.232664 ,  gpu: 0.012547 
8294400 bugatti cpu: 0.220869 ,  gpu: 0.012638 
8294400 bugatti cpu: 0.233156 ,  gpu: 0.012613 
8294400 bugatti cpu: 0.224628 ,  gpu: 0.012548 
8294400 bugatti cpu: 0.227894 ,  gpu: 0.012600 
8294400 bugatti cpu: 0.228637 ,  gpu: 0.012608 
8294400 bugatti cpu: 0.232729 ,  gpu: 0.012600 
8294400 bugatti cpu: 0.232759 ,  gpu: 0.012616 
8294400 bugatti cpu: 0.224791 ,  gpu: 0.012627 
8294400 bugatti cpu: 0.229201 ,  gpu: 0.012615 
8294400 bugatti cpu: 0.228512 ,  gpu: 0.012615 
10276500 chevrolet cpu: 0.404593 ,  gpu: 0.015350 
10276500 chevrolet cpu: 0.255496 ,  gpu: 0.015233 
10276500 chevrolet cpu: 0.261937 ,  gpu: 0.015181 
10276500 chevrolet cpu: 0.248004 ,  gpu: 0.015184 
10276500 chevrolet cpu: 0.262170 ,  gpu: 0.015192 
10276500 chevrolet cpu: 0.244085 ,  gpu: 0.015163 
10276500 chevrolet cpu: 0.262134 ,  gpu: 0.015176 
10276500 chevrolet cpu: 0.247884 ,  gpu: 0.015164 
10276500 chevrolet cpu: 0.261571 ,  gpu: 0.015188 
10276500 chevrolet cpu: 0.247989 ,  gpu: 0.015121 
10276500 chevrolet cpu: 0.262453 ,  gpu: 0.015119 
10276500 chevrolet cpu: 0.243668 ,  gpu: 0.015183 
