4228560 bentley cpu: 0.280307 ,  gpu: 0.004384 
4228560 bentley cpu: 0.189195 ,  gpu: 0.004641 
4228560 bentley cpu: 0.189908 ,  gpu: 0.004342 
4228560 bentley cpu: 0.190536 ,  gpu: 0.004316 
4228560 bentley cpu: 0.190775 ,  gpu: 0.004358 
4228560 bentley cpu: 0.190679 ,  gpu: 0.004347 
4228560 bentley cpu: 0.190723 ,  gpu: 0.004336 
4228560 bentley cpu: 0.190879 ,  gpu: 0.004331 
4228560 bentley cpu: 0.190930 ,  gpu: 0.004321 
4228560 bentley cpu: 0.190664 ,  gpu: 0.004336 
4228560 bentley cpu: 0.190680 ,  gpu: 0.004338 
4228560 bentley cpu: 0.190704 ,  gpu: 0.004331 
4228560 bentley cpu: 0.190382 ,  gpu: 0.004345 
4228560 bentley cpu: 0.190674 ,  gpu: 0.004291 
4228560 bentley cpu: 0.190645 ,  gpu: 0.004336 
4228560 bentley cpu: 0.190818 ,  gpu: 0.004340 
4228560 bentley cpu: 0.190647 ,  gpu: 0.004340 
4228560 bentley cpu: 0.190781 ,  gpu: 0.004337 
4228560 bentley cpu: 0.190701 ,  gpu: 0.004299 
4228560 bentley cpu: 0.190785 ,  gpu: 0.004344 
8294400 bugatti cpu: 0.362810 ,  gpu: 0.007615 
8294400 bugatti cpu: 0.227497 ,  gpu: 0.007635 
8294400 bugatti cpu: 0.233461 ,  gpu: 0.007335 
8294400 bugatti cpu: 0.232956 ,  gpu: 0.007329 
8294400 bugatti cpu: 0.233115 ,  gpu: 0.007320 
8294400 bugatti cpu: 0.232865 ,  gpu: 0.007337 
8294400 bugatti cpu: 0.223347 ,  gpu: 0.007303 
8294400 bugatti cpu: 0.233206 ,  gpu: 0.007327 
8294400 bugatti cpu: 0.232927 ,  gpu: 0.007334 
8294400 bugatti cpu: 0.232849 ,  gpu: 0.007326 
8294400 bugatti cpu: 0.232776 ,  gpu: 0.007333 
8294400 bugatti cpu: 0.221046 ,  gpu: 0.007325 
8294400 bugatti cpu: 0.233375 ,  gpu: 0.007320 
8294400 bugatti cpu: 0.232912 ,  gpu: 0.007330 
8294400 bugatti cpu: 0.161420 ,  gpu: 0.007315 
8294400 bugatti cpu: 0.233351 ,  gpu: 0.007325 
8294400 bugatti cpu: 0.233229 ,  gpu: 0.007311 
8294400 bugatti cpu: 0.232646 ,  gpu: 0.007316 
8294400 bugatti cpu: 0.233120 ,  gpu: 0.007349 
8294400 bugatti cpu: 0.232861 ,  gpu: 0.007336 
10276500 chevrolet cpu: 0.399003 ,  gpu: 0.008894 
10276500 chevrolet cpu: 0.261714 ,  gpu: 0.009178 
10276500 chevrolet cpu: 0.261640 ,  gpu: 0.008873 
10276500 chevrolet cpu: 0.259382 ,  gpu: 0.008873 
10276500 chevrolet cpu: 0.249855 ,  gpu: 0.008864 
10276500 chevrolet cpu: 0.257931 ,  gpu: 0.008867 
10276500 chevrolet cpu: 0.257375 ,  gpu: 0.008866 
10276500 chevrolet cpu: 0.256441 ,  gpu: 0.008852 
10276500 chevrolet cpu: 0.255190 ,  gpu: 0.008886 
10276500 chevrolet cpu: 0.254939 ,  gpu: 0.008900 
10276500 chevrolet cpu: 0.261663 ,  gpu: 0.008871 
10276500 chevrolet cpu: 0.250170 ,  gpu: 0.008867 
10276500 chevrolet cpu: 0.257241 ,  gpu: 0.008875 
10276500 chevrolet cpu: 0.251816 ,  gpu: 0.008870 
10276500 chevrolet cpu: 0.256305 ,  gpu: 0.008862 
10276500 chevrolet cpu: 0.257539 ,  gpu: 0.008863 
